experiment,participant,item,condition,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
suborq,28,2,3,2,SARAH,4,0.420,0.040,0.460,1.66,190.611,210.63,0.388,166.58,0.199,--undefined--,170.820,185.522,207.902,59.144,63.881
suborq,28,2,3,3,OR,2,0.110,0,0.110,2.12,169.825,182.92,0.032,157.65,0.110,182.921,178.436,169.122,161.904,52.476,56.719
suborq,28,2,3,4,MARVIN,6,0.430,0,0.430,2.23,176.105,221.50,0.262,147.54,0.088,152.255,171.556,208.584,172.026,56.388,62.420
suborq,28,2,3,5,AND,3,0.100,0,0.100,2.66,151.405,156.83,0,148.75,0.031,152.122,149.333,151.622,152.545,55.452,57.206
suborq,28,2,3,6,NOLAN,5,0.360,0,0.360,2.76,205.047,267.37,0.176,142.90,0.360,157.670,233.221,252.795,176.500,55.984,60.810
suborq,28,2,3,7,ARRIVED,4,0.410,0.560,0.970,3.12,132.312,142.90,0,125.95,0.381,135.463,133.118,129.032,131.618,54.381,60.303
suborq,28,2,3,8,THAT,3,0.320,0,0.320,4.99,149.847,159.31,0.021,143.99,0.095,153.629,144.854,151.097,--undefined--,50.340,61.421
suborq,28,2,3,9,MARION,6,0.540,0.040,0.580,5.31,171.718,238.97,0.240,135.31,0.408,154.121,211.649,166.488,147.901,55.620,64.373
suborq,28,2,3,10,OR,2,0.120,0,0.120,5.89,138.766,140.44,0.088,134.85,0.113,138.544,138.649,139.630,138.038,47.847,50.981
suborq,28,2,3,11,MARVIN,6,0.480,0.050,0.530,6.01,144.806,187.46,0.426,126.35,0.272,134.856,129.902,140.918,177.797,50.377,56.286
suborq,28,2,3,12,AND,3,0.100,0,0.100,6.54,144.831,148.16,0.042,139.61,0.100,--undefined--,148.028,146.616,141.444,49.148,52.183
suborq,28,2,3,13,NOLAN,5,0.300,0,0.300,6.64,163.155,191.98,0.267,135.82,0.085,141.353,144.968,177.565,188.733,54.988,58.386
suborq,28,2,3,14,ARRIVED,4,0.400,0.140,0.540,6.94,224.607,299.80,0.367,175.66,0.045,180.777,202.048,233.805,289.990,54.229,58.320
suborq,28,2,4,1,SAID,3,0.200,0,0.200,0.93,200.428,225.54,0,173.77,0.182,219.481,--undefined--,204.724,186.677,58.936,64.415
suborq,28,2,4,2,SARAH,4,0.470,0,0.470,1.13,179.621,203.51,0.122,157.16,0.470,203.510,186.525,177.501,167.612,59.162,66.134
suborq,28,2,4,7,ARRIVED,4,0.460,0.510,0.970,1.6,139.535,157.16,0,120.45,0.365,149.697,146.798,136.427,125.220,56.731,64.111
suborq,28,2,4,8,THAT,3,0.180,0,0.180,3.06,144.258,155.90,0,130.23,0.112,144.943,148.381,136.291,--undefined--,51.364,60.969
suborq,28,2,4,9,MARION,6,0.460,0.040,0.500,3.24,179.411,239.33,0.415,138.89,0.012,147.959,151.745,186.961,230.281,56.356,62.468
