word,element_number,duration,relative_duration,discourse,speaker,Mean_F0,Mean_F0_relative,Mean_Intensity,Mean_Intensity_relative
molly,4,0.46999999999999975,0.6255985688103702,suborn_1273_7_4,suborn_1273,112.6356,-0.09145952295179877,62.051489361702124,0.3164675069929068
molly,6,0.5800000000000001,1.338903635752779,suborn_1273_8_1,suborn_1273,127.2776923076923,0.4170276349889742,61.3751724137931,0.17566914843918227
molly,3,0.3600000000000001,-0.14375119127246025,suborn_1273_8_2,suborn_1273,103.08277777777778,-0.5102037089120072,62.80111111111111,0.23860570907487272
molly,6,0.33999999999999986,-0.2387100944199086,suborn_1273_8_2,suborn_1273,104.02000000000001,-0.7128537809351618,60.82382352941176,-0.1460016324561133
molly,3,0.5,0.8722038993166762,suborn_1273_8_3,suborn_1273,105.35764705882353,-0.39221750937620686,61.9158,0.17971487597446978
molly,6,0.41999999999999993,0.2193026361326016,suborn_1273_8_3,suborn_1273,94.514375,-1.141704397253187,56.44857142857143,-0.660370385602515
molly,4,0.45999999999999996,0.5535328056439549,suborn_1273_8_4,suborn_1273,109.3025,-0.27196249296727465,61.866521739130434,0.22802378350637145
jeremy,3,0.5100000000000002,0.3177441234329008,suborn_1273_5_1,suborn_1273,108.68612903225807,-0.6188976903016212,62.13450980392157,-0.0014293418890849628
jeremy,2,0.48,0.32693310936379216,suborn_1273_5_2,suborn_1273,113.72222222222223,-0.2964071283372885,62.887708333333336,0.21658633851738335
jeremy,1,0.29999999999999993,-0.8627642501447533,suborn_1273_5_4,suborn_1273,106.88181818181818,-0.6239480138962129,66.09666666666666,0.727677884285972
jeremy,1,0.52,0.3207783575359423,suborn_1273_5_3,suborn_1273,101.30735294117648,-0.9686749157020633,62.283076923076926,0.15621782829212869
jeremy,3,0.43999999999999995,-0.06576079370124405,suborn_1273_6_1,suborn_1273,97.39096774193548,-1.1749283119546772,60.34818181818182,-0.26710513132021924
jeremy,2,0.5800000000000001,0.7382123317921622,suborn_1273_6_2,suborn_1273,104.44928571428572,-0.6649364868679081,57.39672413793104,-0.6395346221898307
jeremy,1,0.3999999999999999,-0.21560508229734662,suborn_1273_6_4,suborn_1273,106.258,-0.6543534266236365,63.19675,0.24141034217266583
jeremy,1,0.46999999999999986,0.16291750819325526,suborn_1273_6_3,suborn_1273,118.64393939393939,-0.042262481380469785,64.1936170212766,0.5054114418450674
lillian,3,0.3599999999999999,-0.3829394710186002,suborn_1273_5_2,suborn_1273,105.31636363636363,-0.6471882721770759,61.70472222222222,-0.12383816852383188
lillian,6,0.35999999999999943,-0.42453585892226786,suborn_1273_5_2,suborn_1273,93.8995652173913,-1.1846981736473474,57.6775,-0.739548128025246
lillian,6,0.7800000000000002,1.5619104002432387,suborn_1273_5_1,suborn_1273,143.41125,1.379968086946062,60.602179487179484,0.18038446457155644
lillian,6,0.3700000000000001,-0.3179959238829897,suborn_1273_5_3,suborn_1273,89.05227272727272,-1.5214011284929814,59.72675675675676,-0.4158565200130612
lillian,3,0.41999999999999993,-0.17284714481868593,suborn_1273_5_3,suborn_1273,107.2947619047619,-0.4573702657337205,59.58904761904762,-0.1388772470587232
lillian,4,0.5100000000000007,0.30000515355881363,suborn_1273_5_4,suborn_1273,95.18137931034482,-1.1104761404352244,56.41117647058823,-0.5427691279138525
lillian,6,0.3799999999999999,-0.4558493263743866,suborn_1273_6_2,suborn_1273,100.5764,-0.7556777968907613,58.50868421052632,-0.4038564775492887
lillian,3,0.3999999999999999,-0.2554185212426496,suborn_1273_6_2,suborn_1273,109.715,-0.4374536295520937,58.591499999999996,-0.40682640567459516
lillian,6,0.6000000000000005,0.7514901365861852,suborn_1273_6_1,suborn_1273,110.63804878048781,-0.27459438531367597,61.4835,0.12799203602716933
lillian,6,0.4500000000000002,-0.0415725129935251,suborn_1273_6_3,suborn_1273,103.62736842105264,-0.7115298094015331,59.965333333333334,-0.17497510981988415
lillian,3,0.3700000000000001,-0.5184558220702304,suborn_1273_6_3,suborn_1273,108.72590909090908,-0.3919664328336881,61.44,0.10234845785485049
lillian,4,0.5199999999999996,0.31683551013235906,suborn_1273_6_4,suborn_1273,121.4425641025641,0.27118074277133325,61.075192307692305,0.04146811979154292
nolan,6,0.29000000000000004,-0.58462780700993,suborn_1273_2_2,suborn_1273,90.72413793103448,-1.1139795529145446,57.34551724137931,-0.36034686808377087
nolan,6,0.3199999999999994,-0.43961399803833806,suborn_1273_2_3,suborn_1273,84.27409090909092,-1.3450668214799715,58.681875,-0.12602817415294298
nolan,3,0.28000000000000025,-0.6123344897687446,suborn_1273_2_3,suborn_1273,97.35714285714286,-0.8152797898495253,60.81285714285714,0.18090618209134973
nolan,4,0.33999999999999986,-0.26730808763817215,suborn_1273_1_4,suborn_1273,107.8190625,-0.3685881238710511,62.32970588235294,0.41273173626163756
nolan,3,0.2699999999999998,-0.686798190480576,suborn_1273_2_2,suborn_1273,106.51296296296296,-0.4408395532588998,60.108148148148146,0.06671041592197054
nolan,6,0.5199999999999996,0.7278810053182846,suborn_1273_2_1,suborn_1273,113.00708333333333,-0.11982081646779985,59.308076923076925,0.04240229080967948
nolan,3,0.43999999999999995,0.24392765380407144,suborn_1273_1_3,suborn_1273,105.33,-0.48501527301621,60.6925,0.2193455142100963
nolan,6,0.40000000000000036,0.06771786245238787,suborn_1273_1_2,suborn_1273,94.13833333333334,-0.9122033599584548,52.2305,-1.003765760972958
nolan,6,0.3600000000000003,-0.18464308943374502,suborn_1273_1_3,suborn_1273,95.14769230769231,-0.9350922613667266,56.99444444444445,-0.3698979900490553
nolan,6,0.5099999999999998,0.7149272412125897,suborn_1273_1_1,suborn_1273,116.64064516129032,0.05761111540170308,57.86686274509804,-0.1771208699551931
nolan,3,0.2999999999999998,-0.5006591730718938,suborn_1273_1_2,suborn_1273,100.66533333333334,-0.6907441520973119,59.61533333333333,0.025948525988738758
nolan,4,0.35000000000000053,-0.4088827772308157,suborn_1273_2_4,suborn_1273,151.90933333333334,1.3213101423395184,63.77942857142857,0.5694862589384327
sarah,1,0.47,1.698308783232797,suborn_1273_2_3,suborn_1273,123.90896551724138,-0.10053349818392866,66.38106382978724,0.38854796947496983
sarah,3,0.48,1.825726677600914,suborn_1273_2_1,suborn_1273,108.4924,-0.6897177642601608,63.84729166666666,0.0322666050711634
sarah,2,0.5,2.0098424313436727,suborn_1273_2_2,suborn_1273,116.00916666666667,-0.5675293123267112,63.3312,-0.012227159900545462
sarah,1,0.54,2.4058715447338654,suborn_1273_1_3,suborn_1273,125.97142857142858,-0.14553704003005474,67.34648148148148,0.6490052219754631
sarah,1,0.4700000000000001,1.7333020880842716,suborn_1273_1_4,suborn_1273,114.06714285714285,-0.573669348451334,61.66702127659575,-0.3898496402298972
sarah,3,0.3700000000000001,0.8016261680017586,suborn_1273_1_1,suborn_1273,109.482,-0.7544678748268637,62.152702702702705,-0.32305627593026537
sarah,2,0.3600000000000001,0.6641568698153273,suborn_1273_1_2,suborn_1273,116.96695652173914,-0.48220354272433336,67.2925,0.6514164208707842
sarah,1,0.5599999999999999,2.6240908483588856,suborn_1273_2_4,suborn_1273,113.9932,-0.44273205965207685,64.99071428571429,0.21291155709960322
megan,2,0.43999999999999995,0.7820442229292224,suborn_1284_4_4,suborn_1284,135.3417142857143,-0.007261457343265177,64.62954545454545,0.33699671965241684
megan,4,0.41000000000000014,0.45506880872136063,suborn_1284_4_2,suborn_1284,134.8959375,0.05579184799690433,64.96024390243902,0.5564145796822149
megan,4,0.3999999999999999,0.4067944443284186,suborn_1284_4_1,suborn_1284,129.72555555555556,-0.23948898389056392,66.2665,0.7153430149325414
megan,1,0.31000000000000005,-0.18967261306790067,suborn_1284_4_2,suborn_1284,162.96105263157895,1.3619245285850141,66.33774193548388,0.8738740622053173
megan,2,0.43999999999999995,0.7146656859038725,suborn_1284_3_4,suborn_1284,144.178125,0.351776255451318,63.55204545454546,0.3325589239545809
megan,4,0.5699999999999994,1.6982618267516871,suborn_1284_3_3,suborn_1284,151.93586206896552,0.42483335955837187,62.32333333333333,0.07950328842571695
megan,4,0.4500000000000002,0.8869642314248901,suborn_1284_3_2,suborn_1284,105.25361111111111,-0.9093040778519366,61.047333333333334,-0.1654006218682872
megan,1,0.47,1.0683437952762433,suborn_1284_3_2,suborn_1284,126.02025641025641,-0.07241827742871836,64.46361702127659,0.47808499314215014
benjamin,2,0.52,0.02889228407297277,suborn_1284_6_3,suborn_1284,101.1584,-0.8395389980610137,58.583653846153844,-0.366217052903364
